"","year","catch","index1","index2","index3","index4","index5","index6"
"1",1978,13681.30759,NA,NA,NA,NA,NA,NA
"2",1979,16127.896036,NA,NA,NA,NA,NA,NA
"3",1980,18301.618668,NA,NA,NA,NA,NA,NA
"4",1981,24167.523852,NA,NA,NA,NA,NA,NA
"5",1982,22081.611618,NA,NA,NA,NA,NA,NA
"6",1983,21502.563067,NA,NA,NA,NA,NA,NA
"7",1984,21600.691667,NA,NA,NA,NA,NA,NA
"8",1985,19570.024231,NA,5.5,NA,NA,NA,NA
"9",1986,12083.317756,NA,5.25,NA,NA,NA,NA
"10",1987,21358.402489,NA,11.75,NA,NA,NA,NA
"11",1988,20781.345651,NA,8.55,NA,NA,NA,NA
"12",1989,19245.502077,NA,6.86,NA,NA,NA,NA
"13",1990,12745.977881,NA,5.2,NA,NA,NA,NA
"14",1991,11548.571724,NA,4.95,NA,NA,NA,NA
"15",1992,10865.324162,NA,3.8,NA,NA,NA,NA
"16",1993,10452.826781,NA,5.68,0.202271498107085,NA,NA,NA
"17",1994,9588.430076,NA,6.02,0.675776397515528,NA,NA,NA
"18",1995,9579.726241,NA,6.45,0.250821467688938,NA,NA,NA
"19",1996,9489.327659,NA,5.6,0.181869688385269,2.47,NA,NA
"20",1997,7532.966806,NA,4.82,0.387096774193548,1.87,NA,NA
"21",1998,6252.285667,NA,5.4,0.0866381940207444,2.56,NA,NA
"22",1999,4270.131417,NA,2.35,0.0262148337595908,2.17,NA,NA
"23",2000,3798.000184,NA,2.73,0.0829048843187661,1.92,NA,NA
"24",2001,2438.570631,NA,6.22,0.152317880794702,1.2,NA,NA
"25",2002,2722.239342,NA,2.63,0.0676691729323308,2.16,NA,NA
"26",2003,1275.070552,0.0186335403726708,2.9,NA,1.73,NA,NA
"27",2004,612.020415,0.0291666666666667,1.83,NA,1.1,NA,NA
"28",2005,551.969342,0.0885416666666667,0.44,NA,0.6,NA,NA
"29",2006,953.651071,0.0708609271523179,0.58,NA,2.49,NA,NA
"30",2007,2474.354736,0.148337595907928,2.61,NA,3.41,NA,NA
"31",2008,1376.534883,0.0449339207048458,5.42,NA,2.27,NA,NA
"32",2009,1353.279048,0.0616835994194485,0.71,NA,2.27,NA,NA
"33",2010,1344.096912,0.0836560805577072,2.62,NA,NA,NA,NA
"34",2011,2124.190555,0.0442890442890443,NA,NA,NA,5.719,5.774
"35",2012,1631.796828,0.0682926829268293,NA,NA,NA,7.849,5.872
"36",2013,1500.999696,0.0795366795366795,NA,NA,NA,13.168,NA
"37",2014,1667.953343,0.1125,NA,NA,NA,7.675,8.258
"38",2015,1752.239586,0.0239076669414674,NA,NA,NA,19.172,14.042
"39",2016,1744.814126,0.0540540540540541,NA,NA,NA,18.109,22.9682
"40",2017,2363.130405,0.0234113712374582,NA,NA,NA,31.9156,6.3496
