"","year","catch","index1","index2"
"1",1963,128102.1357,NA,NA
"2",1964,130035.2741,NA,NA
"3",1965,209068.73,NA,NA
"4",1966,257987.6652,NA,NA
"5",1967,274999.4966,NA,NA
"6",1968,304444.7924,NA,NA
"7",1969,204484.1347,NA,NA
"8",1970,242642.9553,NA,NA
"9",1971,410498.3233,NA,NA
"10",1972,385791.0634,NA,NA
"11",1973,267842.8129,NA,NA
"12",1974,252714.276,NA,NA
"13",1975,241132.3168,NA,NA
"14",1976,305328.805,NA,NA
"15",1977,347181.6797,NA,NA
"16",1978,327061.2804,NA,NA
"17",1979,428086.4376,NA,NA
"18",1980,587442.7478,NA,NA
"19",1981,390753.9406,NA,NA
"20",1982,356376.1499,NA,NA
"21",1983,279031.5442,23588.01,NA
"22",1984,378275.345,22881.27,NA
"23",1985,245641.6438,20228.98,NA
"24",1986,339691.8666,20481.62,NA
"25",1987,243840.2193,22370.43,NA
"26",1988,193767.2719,10751.7,NA
"27",1989,201155.1782,17461.37,NA
"28",1990,151592.4457,12083.78,NA
"29",1991,119677.908,6826.16,NA
"30",1992,148984.6658,14368.34,19219.06
"31",1993,141383.223,13344.18,9603.05
"32",1994,208172.8836,11886.26,20900.98
"33",1995,168055.5626,19395.44,17278.02
"34",1996,138777.4097,9089.44,9136.82
"35",1997,155599.8101,20841.69,32323.71
"36",1998,184807.2844,12599.7,11015.99
"37",1999,107733.4299,7051.28,6523.13
"38",2000,82922.21512,7320.05,7711.18
"39",2001,61986.76125,5952.35,4052.51
"40",2002,65036.36245,6375.11,5630.73
"41",2003,34437.04722,3724.85,2688.63
"42",2004,36471.4759,5571.02,4453.14
"43",2005,38104.04022,3555.1,2204.77
"44",2006,37576.93998,5840.5,6884.48
"45",2007,54641.11221,5121.49,4732.29
"46",2008,51794.90584,5078.31,4810.29
"47",2009,54026.16675,4166.2,3353.3
"48",2010,49105.77217,6241.23,6847.92
"49",2011,40686.81556,4838.62,5275.63
"50",2012,40763.89765,5617.1,4672.28
"51",2013,40757.48654,4746.83,5049.71
"52",2014,45192.27158,5784.16,5621.73
"53",2015,49899.87986,7134.25,6211.4
"54",2016,50310.4274,4860.66,4942.77
"55",2017,46368.627,12111.07,8159.56
