"","year","catch","index1"
"1",1991,18867.2164,36550
"2",1992,17197.3362,84003
"3",1993,14636.2515,73909
"4",1994,16746.3432,53676
"5",1995,14751.6717,49153
"6",1996,16423.5358,62552
"7",1997,11053.8434,43156
"8",1998,15839.3493,7
"9",1999,16413.426,23806
"10",2000,12052.9987,7
"11",2001,3656.881,40280
"12",2002,7273.5223,35456
"13",2003,11496.5211,25558
"14",2004,7321.0467,7
"15",2005,5682.5903,33331
"16",2006,3141.0624,28548
"17",2007,5582.3928,10955
"18",2008,6320.3494,5929
"19",2009,4795.7529,2782
"20",2010,3498.8384962,7
"21",2011,2056.9013,885
"22",2012,726.6857,39847
"23",2013,1968.55984,20255
"24",2014,1947.729291,14986
"25",2015,2972.4126,13915
"26",2016,2885.5822,73757
"27",2017,5006.0655,63501
