Stock,ICES_Fmsy,ICES_Fmsy_lower,ICES_Fmsy_upper,ICES_F_end,ICES_SSB,ICES_TSB,IndexYears
Cod_6_a,0.19,0.108,0.254,0.159,3.413,,15
Cod_7_a,0.44,0.36,0.44,0.039,6.939,,27
Cod_7_ek,0.35,0.23,0.55,0.612,3.669,5.364,18
Had_6_b,0.2,0.13,0.2,0.1569,27.697,44.377,27
Had_7_bk,0.4,0.26,0.6,0.66,33.96,44.966,23
Ple_7_a,0.169,,,0.066,17.106,20.466,25
Ple_7_fg,0.479,,,0.18,,6.515,23
Ple_7_hk,0.289,,,0.885,0.085,,12
Sol_7_a,0.2,0.16,0.24,0.0188,1.941,2.337,30
Sol_7_fg,0.274,0.154,0.419,0.399,2.208,4.502,30
Sol_7_hk,0.161,,,0.151,0.631,,12
Whg_6_a,0.23,0.15,0.32,0.041,18.098,25.694,33
Whg_7_a,0.22,,,0.396,1.201,1.938,28
Whg_7_bk,0.52,,,0.539,42.47,96.08,15
Cod_NS,0.31,0.198,0.46,0.446,118.387,228.241,35
Sol_2024,0.23,0.19,0.26,0.279,2.406,3.46,14
Had_NS,0.194,0.167,0.194,0.25,220.691,476.366,49
Whg_NS,0.172,0.158,0.172,0.219,180.592,278.889,36
BluWhg_Wide,0.32,,,0.393,6344.004,8650.121,14
Mac_Wide,0.21,,,0.296,3970.981,4029.685,18
