"","Profile","Resilience","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","bmsy","bmsy.low","bmsy.high","fmsy","fmsy.low","fmsy.high"
"1","H_H","Medium",0.280848403108693,0.173404842682701,0.454865183165797,130301.056312902,82822.7924510623,204996.291163331,9148.71089721362,7203.81628983144,11618.6903876131,65150.5281564511,41411.3962255312,102498.145581666,0.140424201554346,0.0867024213413503,0.227432591582899
"2","H_M","Medium",0.331417280523354,0.211288965692892,0.519844533619158,106942.978951324,74832.8533562367,152831.27976611,8860.68781377852,7211.2126368492,10887.4599165262,53471.489475662,37416.4266781184,76415.6398830551,0.165708640261677,0.105644482846446,0.259922266809579
"3","H_L","Medium",0.309732583405789,0.192864544189896,0.497417882722737,111583.342217292,77538.3095225916,160576.653489635,8640.24921250349,6843.48352677046,10908.7581145092,55791.6711086459,38769.1547612958,80288.3267448175,0.154866291702894,0.0964322720949479,0.248708941361369
"4","M_H","Medium",0.282755720218235,0.176636057140959,0.452630106277399,132865.411341318,83232.6610222236,212094.835297699,9392.11376897665,7461.83374570691,11821.732305434,66432.7056706592,41616.3305111118,106047.41764885,0.141377860109118,0.0883180285704794,0.226315053138699
"5","M_M","Medium",0.343777728501834,0.220731315898823,0.535416219183201,105621.57430816,73013.0083379922,152793.553002104,9077.58622411168,7453.00571253285,11056.287199353,52810.7871540798,36506.5041689961,76396.7765010519,0.171888864250917,0.110365657949411,0.267708109591601
"6","M_L","Medium",0.328194082246235,0.205893336855889,0.523141531757478,108778.99449492,74458.8546916822,158918.233329308,8925.1555664821,7162.75382829717,11121.1977677088,54389.4972474599,37229.4273458411,79459.1166646539,0.164097041123117,0.102946668427945,0.261570765878739
"7","L_H","Medium",0.280172701097885,0.172976383693592,0.453800344095139,143973.205428912,83540.3064766212,248123.148641746,10084.3404626848,7477.10380466847,13600.7102782024,71986.602714456,41770.1532383106,124061.574320873,0.140086350548943,0.0864881918467962,0.22690017204757
"8","L_M","Medium",0.356045567458643,0.234791479665421,0.539919277682448,104638.511500031,72645.2636176291,150721.706325875,9314.01955126405,7709.85348629964,11251.9596326292,52319.2557500154,36322.6318088145,75360.8531629375,0.178022783729322,0.117395739832711,0.269959638841224
"9","L_L","Medium",0.337889895371842,0.212782988688313,0.536554083097458,110124.337121192,72771.9214278271,166649.023255617,9302.47518694323,7479.30717621743,11570.0615798827,55062.1685605958,36385.9607139135,83324.5116278084,0.168944947685921,0.106391494344156,0.268277041548729
